高さ４cmのブロック、４個積んだら高さは？ 四四、１６cm
１ｍで８kgの鉄の棒、２ｍだと何kg？ 八二、１６kg
イチゴが３個ずつ乗ったケーキが４個、イチゴはいくつ？ 三四、１２個
５人で１時間かかる仕事、１人だと何時間？ 一五が５時間
１ｍで４kgの鉄の棒、８ｍだと何kg？ 四八、３２kg
毎月のおこづかいは４千円、半年でいくら？ 四六、２４０００円
９つの箱にボールが９つずつ、ボールは何個？ 九九、８１個
１ｍで２kgの鉄の棒、３ｍだと何kg？ 二三が６kg
３cmのテープ、２倍になったら何cm？ 三二が６cm
６個入りのチョコレート、４箱でいくつ？ 六四、２４個
高さ７cmのブロック、７個積んだら高さは？ 七七、４９cm
高さ４cmのブロック、２個積んだら高さは？ 四二が８cm
４個入りのチョコレート、２箱でいくつ？ 四二が８個
２リットル入りの飲み物が５本で何リットル？ 二五、１０リットル
６個セットのマグネット、２セットでいくつ？ 六二、１２個
つのつの一本　赤鬼どん♪５人で、つの何本？ 一五が５本
８ｍ間隔で９本の旗、端から端まで何ｍ？ 八八、６４ｍ
５cmのテープ、６倍になったら何cm？ 五六、３０cm
毎月のおこづかいは３千円、半年でいくら？ 三六、１８０００円
５つの箱にボールが９つずつ、ボールは何個？ 九五、４５個
５枚のお皿にみかんが２つずつ、みかんは何個？ 二五、１０個
３人ずつ座っているベンチ、５つで何人？ 三五、１５人
７グループのネコ、それぞれ７匹で何匹いる？ 七七、４９匹
７人で４時間かかる仕事、１人だと何時間？ 四七、２８時間
５ｍ間隔で８本の旗、端から端まで何ｍ？ 五七、３５ｍ
１ｍで７kgの鉄の棒、８ｍだと何kg？ 七八、５６kg
１cmのテープ、６倍になったら何cm？ 一六が６cm
１ｍで９kgの鉄の棒、７ｍだと何kg？ 九七、６３kg
６グループのネコ、それぞれ５匹で何匹いる？ 五六、３０匹
４個セットのマグネット、６セットでいくつ？ 四六、２４個
５人で６時間かかる仕事、１人だと何時間？ 六五、３０時間
７個入りのチョコレート、５箱でいくつ？ 七五、３５個
９つの箱にボールが６つずつ、ボールは何個？ 六九、５４個
１ｍで２kgの鉄の棒、９ｍだと何kg？ 二九、１８kg
５人、４チームで野球の試合、全部で何人？ 五四、２０人
７人で２時間かかる仕事、１人だと何時間？ 二七、１４時間
６個セットのマグネット、３セットでいくつ？ 六三、１８個
三輪車三輪車三輪車。ひらがなにすると全部で何文字？ 二九、１８文字
１セット９回の腕立て伏せ、７セットで何回？ 九七、６３回
４人で９時間かかる仕事、１人だと何時間？ 九四、３６時間
３個入りのチョコレート、８箱でいくつ？ 三八、２４個
４グループのネコ、それぞれ８匹で何匹いる？ 八四、３２匹
１ｍで８kgの鉄の棒、５ｍだと何kg？ 八五、４０kg
１ｍで７kgの鉄の棒、４ｍだと何kg？ 七四、２８kg
１ｍで１kgの鉄の棒、４ｍだと何kg？ 一四が４kg
３個入りのチョコレート、９箱でいくつ？ 三九、２７個
１ｍで８kgの鉄の棒、６ｍだと何kg？ 八六、４８kg
９人、３チームで野球の試合、全部で何人？ 九三、２７人
２人ずつ座っているベンチ、７つで何人？ 二七、１４人
２人ずつ座っているベンチ、５つで何人？ 二五、１０人
１ｍで６kgの鉄の棒、５ｍだと何kg？ 六五、３０kg
４枚のお皿にみかんが３つずつ、お皿は何枚？ 一四が４枚
１セット３回の腕立て伏せ、５セットで何回？ 三五、１５回
１ｍで２kgの鉄の棒、２ｍだと何kg？ 二二が４kg
８個入りのチョコレート、７箱でいくつ？ 八七、５６個
７ｍ間隔で４本の旗、端から端まで何ｍ？ 七三、２１ｍ
９人で５時間かかる仕事、１人だと何時間？ 五九、４５時間
９個入りのチョコレート、７箱でいくつ？ 九七、６３個
６人で１時間かかる仕事、１人だと何時間？ 一六が６時間
２匹のナナホシテントウ、ホシの数は？ 七二、１４個
５個入りのチョコレート、２箱でいくつ？ 五二、１０個
３人ずつ座っているベンチ、９つで何人？ 三九、２７人
３人ずつ座っているベンチ、７つで何人？ 三七、２１人
１セット７回の腕立て伏せ、５セットで何回？ 七五、３５回
５枚のお皿にみかんが４つずつ、みかんは何個？ 四五、２０個
７個入りのチョコレート、９箱でいくつ？ 七九、６３個
４人で１時間かかる仕事、１人だと何時間？ 一四が４時間
８人で９時間かかる仕事、１人だと何時間？ 九八、７２時間
１ｍで９kgの鉄の棒、６ｍだと何kg？ 九六、５４kg
４人乗りの車、６台あったら何人まで乗れる？ 四六、２４人
４匹のナナホシテントウ、ホシの数は？ 七四、２８個
１ｍで７kgの鉄の棒、７ｍだと何kg？ 七七、４９kg
高さ８cmのブロック、５個積んだら高さは？ 八五、４０cm
１ｍで５kgの鉄の棒、８ｍだと何kg？ 五八、４０kg
９個入りのチョコレート、９箱でいくつ？ 九九、８１個
５個入りのチョコレート、４箱でいくつ？ 五四、２０個
五円玉が５枚で、何円？ 五五、２５円
１ｍで８kgの鉄の棒、４ｍだと何kg？ 八四、３２kg
１ｍで５kgの鉄の棒、２ｍだと何kg？ 五二、１０kg
１セット５回の腕立て伏せ、５セットで何回？ 五五、２５回
６人で９時間かかる仕事、１人だと何時間？ 九六、５４時間
９個入りのチョコレート、６箱でいくつ？ 九六、５４個
６つの箱にボールが６つずつ、ボールは何個？ 六六、３６個
２つの箱にボールが５つずつ、ボールは何個？ 五二、１０個
８個入りのチョコレート、９箱でいくつ？ 八九、７２個
１セット５回の腕立て伏せ、９セットで何回？ 五九、４５回
３人で２時間かかる仕事、１人だと何時間？ 二三が６時間
５cmのテープ、８倍になったら何cm？ 五八、４０cm
１cmのテープ、２倍になったら何cm？ 一二が２cm
５人で７時間かかる仕事、１人だと何時間？ 七五、３５時間
５個セットのマグネット、６セットでいくつ？ 五六、３０個
